LSOACODE,AVEPRICE,AVEINCOME,IMDSCORE,PTAINDEX
E01002333,337055.84,46756.67,10.6,3.82
E01002334,414682.16,50456.67,10.7,1.24
E01002335,275308.75,43263.33,16.8,6.45
E01002336,351900.39,46776.67,14.3,3.71
E01002337,658737.72,53643.33,11.2,2.77
E01002338,302334.59,46786.67,13.1,7.43
E01002339,412667.98,51313.33,7,2.78
E01002340,280665.73,48056.67,8.9,11.22
E01002341,334835.77,47460,13.5,3.64
E01002342,248335.7,39393.33,22.1,4.22
E01002343,305360.52,43853.33,13.9,2.7
E01002344,249174.73,42410,18.7,0.5
E01002345,181170.83,39043.33,35.9,7.41
E01002346,240070.12,40363.33,23.2,5.26
E01002347,257741.66,41226.67,19.7,1.87
E01002348,282563.99,42503.33,10.5,0.72
E01002349,307465.28,43010,13.1,3.32
E01002350,219493.63,42523.33,28.4,27.53
E01002351,290955.83,45200,14.3,9.34
E01002352,323095.95,45646.67,17.5,7.53
E01002353,345369.75,44960,17.3,14.83
E01002354,410223.82,50653.33,5.9,6.46
E01002355,357792.63,49650,5.5,7.18
E01002356,185443.89,38910,38.5,26.72
E01002358,245525.09,44770,17.1,19.78
E01002359,269833.95,47606.67,8,7.49
E01002360,327667.06,42640,14.2,10.52
E01002361,249762.14,42833.33,20.2,13.03
E01002362,315650.74,49460,6.6,10.61
E01002363,271871.97,42613.33,20.6,6.08
E01002364,374169.41,47390,7.8,10.27
E01002365,278280.89,44703.33,15.2,8.83
E01002366,286736.87,46286.67,12.3,7.27
E01002367,306921.6,46840,11.9,7.77
E01002368,276689.02,37196.67,43.2,3.88
E01002369,250827.84,40393.33,23.1,3.86
E01002370,238669.85,38980,28.2,2.27
E01002371,284471.38,40710,17.7,6.46
E01002372,279253.69,41803.33,13.7,5.22
E01002373,265344.35,40996.67,16.4,3.62
E01002374,253705.19,41030,17.6,2.32
E01002375,255983.58,39156.67,27.7,2.88
E01002376,546057.74,55843.33,6.6,7.92
E01002377,315886.99,47290,13.2,3.75
E01002378,327106.42,47750,9.1,2.68
E01002379,399299.5,50460,8.6,12.41
E01002380,251824.11,47453.33,15.9,8.03
E01002381,384655.9,49093.33,14.5,6.51
E01002382,315277.74,50400,10.6,8.83
E01002383,349098.86,49643.33,9.4,4.23
E01002384,448561.22,55406.67,5.8,10.12
E01002385,435658.3,56926.67,9.8,0.58
E01002386,304381.31,51173.33,7.4,12.76
E01002387,619760.08,60260,4.7,1.92
E01002388,527895.42,60650,2.2,2.11
E01002389,529130.91,58913.33,4.4,0.88
E01002390,567379.65,61696.67,2.5,3.67
E01002391,379207.56,49533.33,8.3,0.27
E01002392,268110.61,36140,38.8,3.55
E01002393,276569.22,37656.67,27,5.47
E01002394,313764.81,39343.33,18.6,1.34
E01002395,302042.22,41446.67,21.2,4.2
E01002396,332289.4,38250,28.1,6.73
E01002397,253384.44,37783.33,28.6,9.64
E01002398,309719.88,39823.33,21.6,6.81
E01002399,318794.83,40353.33,19,5.45
E01002400,351653.66,39326.67,28.3,4.93
E01002401,277161.92,37883.33,29.6,5.05
E01002402,298620.59,37793.33,30.6,5.37
E01002403,273196.97,37333.33,31.2,4.11
E01002404,242230.28,36416.67,30.2,4.14
E01002405,298182.61,38260,26.9,5.2
E01002406,304794.38,37573.33,21.5,7.27
E01002407,279887.64,37436.67,27.3,14.99
E01002408,289488.47,38580,30.8,7.99
E01002409,332999.1,39763.33,26.6,6.39
E01002410,333927.89,43856.67,17.8,7.32
E01002411,314259.91,39516.67,21.1,3.39
E01002412,355200.19,45766.67,13.9,7.46
E01002413,288527.71,38996.67,27.2,3.99
E01002414,331341.83,43993.33,8.5,7.25
E01002415,419867.85,52290,6.4,3.11
E01002416,446584.43,50926.67,6.2,1.85
E01002417,465534.67,53343.33,6.2,8.52
E01002418,426664.38,51280,10.2,5.47
E01002419,392122.47,53533.33,4.9,9.51
E01002420,397591.35,50536.67,12.1,3.3
E01002421,398338.83,51630,7.4,2.32
E01002422,322466.87,43040,16.1,4.63
E01002423,317737.61,45033.33,14.1,3.06
E01002424,308761.97,43860,13.8,5.3
E01002425,263145.82,40316.67,23.5,3.53
E01002426,309705.62,41060,17.6,7.68
E01002427,259326.87,43300,12.3,5.82
E01002428,339548.87,44493.33,13.2,2.67
E01002429,263660.26,40453.33,30.3,3.22
E01002430,617527.74,61223.33,5.1,0.55
E01002431,667455.88,58646.67,3.7,7.43
E01002432,403869.93,55290,6,9.18
E01002433,454356.08,51296.67,17.2,3.23
E01002434,624263.45,59780,5.2,2.66
E01002435,617298.43,60666.67,4,6.87
E01002436,475180.61,51323.33,11.2,2.56
E01002437,718014,58756.67,4.4,2.91
E01002438,380498.32,51260,11.1,0.24
E01002439,385818.91,45346.67,16.1,2.39
E01002440,344638.45,43773.33,22.4,1.21
E01002441,393562.35,45113.33,22.5,0.73
E01002442,310884.52,43180,21.7,1.15
E01002443,229503.88,40726.67,19,5.18
E01002444,256745.45,41720,22,4.07
E01002445,286506.85,37743.33,31.3,5.19
E01002446,320894.46,42040,20.5,2.79
E01002447,202240.79,39846.67,21.2,4.76
E01002448,223005.65,39616.67,21.7,5.9
E01002449,228413.88,39226.67,19.8,9.38
E01002450,346628.36,46553.33,9.6,2.43
E01002451,373159.68,47986.67,7.7,4.2
E01002452,386446.25,48120,9.2,6.81
E01002453,348754.86,45703.33,10.6,2.23
