SEQID,MSOA11CD,MSOA11NM,OBESE,TOTAL,IMDMSOA,RESTCAT
405,E02000426,Haringey 030,26,107,15.2,1
406,E02000427,Haringey 031,31,128,25.725,1
407,E02000428,Haringey 032,61,239,31.15,1
408,E02000429,Haringey 033,11,150,13.475,0
409,E02000430,Haringey 034,19,167,14.975,1
410,E02000431,Haringey 035,7,72,13.95,1
411,E02000432,Haringey 036,27,120,23.625,1
412,E02000433,Harrow 001,29,163,12.25,1
413,E02000434,Harrow 002,66,273,14.48,1
414,E02000435,Harrow 003,41,242,20.675,0
415,E02000436,Harrow 004,18,104,7.7,0
416,E02000437,Harrow 005,73,300,16.72,1
417,E02000438,Harrow 006,43,227,18.48,1
418,E02000439,Harrow 007,72,309,19.08,0
419,E02000440,Harrow 008,59,324,10.08,1
420,E02000441,Harrow 009,34,206,16.95,0
421,E02000442,Harrow 010,68,301,14.42,1
422,E02000443,Harrow 011,81,411,21.88,1
423,E02000444,Harrow 012,54,300,11.36,1
424,E02000445,Harrow 013,100,392,21.62,1
425,E02000447,Harrow 015,54,243,12.15,1
426,E02000448,Harrow 016,30,198,6.65,1
427,E02000449,Harrow 017,66,259,18.46,0
428,E02000451,Harrow 019,20,171,7.375,1
429,E02000452,Harrow 020,49,262,17.375,2
430,E02000453,Harrow 021,47,244,12.4,1
431,E02000454,Harrow 022,33,237,5.75,0
432,E02000455,Harrow 023,45,193,18.65,2
433,E02000456,Harrow 024,34,195,14.95,1
434,E02000457,Harrow 025,37,190,11.475,1
435,E02000459,Harrow 027,76,335,20.35,1
436,E02000460,Harrow 028,75,297,22.975,1
437,E02000461,Harrow 029,12,102,9.6,1
438,E02000462,Harrow 030,51,259,16.775,1
439,E02000463,Harrow 031,79,370,19.5,1
440,E02000464,Havering 001,72,281,29,1
441,E02000465,Havering 002,67,337,28.6,1
442,E02000466,Havering 003,65,314,23.34,0
443,E02000467,Havering 004,121,474,39.83333333,0
444,E02000468,Havering 005,68,290,19.22,1
445,E02000469,Havering 006,79,278,27.85,1
446,E02000470,Havering 007,50,252,12.32,1
447,E02000471,Havering 008,40,211,9.88,1
448,E02000472,Havering 009,79,332,12.83333333,1
449,E02000473,Havering 010,51,278,10.95,1
450,E02000474,Havering 011,67,290,19.58,1
451,E02000475,Havering 012,37,232,10.41666667,1
452,E02000476,Havering 013,78,251,23.3,3
453,E02000477,Havering 014,42,267,7.583333333,1
454,E02000478,Havering 015,25,120,8.3,0
455,E02000479,Havering 016,53,274,17.84,1
456,E02000480,Havering 017,122,431,20.45,1
457,E02000481,Havering 018,54,275,9.94,1
458,E02000482,Havering 019,35,214,4.25,1
459,E02000483,Havering 020,36,206,13.66,2
460,E02000484,Havering 021,46,263,12.02,0
461,E02000485,Havering 022,39,249,10.1,2
462,E02000486,Havering 023,49,188,10.06,1
463,E02000487,Havering 024,36,240,5.64,1
464,E02000488,Havering 025,43,189,7.66,1
465,E02000489,Havering 026,84,300,16.36,1
466,E02000490,Havering 027,72,255,16.5,0
467,E02000491,Havering 028,122,409,27.04,0
468,E02000492,Havering 029,45,185,14.25,0
469,E02000493,Havering 030,56,262,22.475,0
470,E02000494,Hillingdon 001,21,108,10.26,0
